Отметка времени,"How to fix ""Value too large for defined data type"" error from GCC (C Compiler)?",How to allocate IPv6 addresses in the organization without site-local addresses?,What does ARM instruction FJCVTZS (Floating-point JavaScript Convert to Signed fixed-point) do?,How to get a visualization of Control Flow Graph for LLVM IR?,What does $ (dollar sign) operator do in Haskell?,How to exit VIM?,How to enable log rotation in docker compose?,What mechanism used to avoid transmission collision in ethernet network with bus topology?,"How to use ""useEffect"" function in React?",How to add a callback at object destruction in LLVM?,How many years of experience in programming do you have?,"What is your professional level? (if your company have another scale, choose the closest to you)"
2023/12/07 10:54:59 PM GMT+3,"Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)",15-20 year,Senior
2023/12/07 11:44:35 PM GMT+3,"Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Documentation (e.g., wiki of project)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)",5-8 years,Middle
2023/12/08 12:09:45 AM GMT+3,"Documentation (e.g., wiki of project)","Search engines (e.g., Google, Yandex)","Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)",5-8 years,Middle
2023/12/08 12:12:52 AM GMT+3,"Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)",ChatGPT / Other kind of AI chat bots,"Search engines (e.g., Google, Yandex)","Documentation (e.g., wiki of project)","Search engines (e.g., Google, Yandex)","Documentation (e.g., wiki of project)","Search engines (e.g., Google, Yandex)","Documentation (e.g., wiki of project)","Search engines (e.g., Google, Yandex)",5-8 years,Middle
2023/12/08 12:46:30 AM GMT+3,StackOverflow,ChatGPT / Other kind of AI chat bots,ChatGPT / Other kind of AI chat bots,ChatGPT / Other kind of AI chat bots,ChatGPT / Other kind of AI chat bots,"Documentation (e.g., wiki of project)",ChatGPT / Other kind of AI chat bots,ChatGPT / Other kind of AI chat bots,ChatGPT / Other kind of AI chat bots,ChatGPT / Other kind of AI chat bots,2-5 years,Middle
2023/12/08 12:56:41 AM GMT+3,"Search engines (e.g., Google, Yandex)","Ask a colleague (e.g., verbally, write in Slack)","Search engines (e.g., Google, Yandex)",ChatGPT / Other kind of AI chat bots,"Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)",StackOverflow,"Ask a colleague (e.g., verbally, write in Slack)",ChatGPT / Other kind of AI chat bots,"Search engines (e.g., Google, Yandex)",2-5 years,Middle
2023/12/08 01:02:08 AM GMT+3,"Search engines (e.g., Google, Yandex)","Ask a colleague (e.g., verbally, write in Slack)","Documentation (e.g., wiki of project)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Documentation (e.g., wiki of project)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Documentation (e.g., wiki of project)",1-2 years,Junior
2023/12/08 01:37:03 AM GMT+3,"Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)",15-20 year,Senior
2023/12/08 01:45:42 AM GMT+3,"Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)",5-8 years,Senior
2023/12/08 01:46:36 AM GMT+3,"Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Documentation (e.g., wiki of project)",ChatGPT / Other kind of AI chat bots,"Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Documentation (e.g., wiki of project)",StackOverflow,5-8 years,Middle
2023/12/08 02:26:20 AM GMT+3,"Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)",5-8 years,Senior
2023/12/08 02:45:11 AM GMT+3,"Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)",15-20 year,Middle
2023/12/08 02:59:33 AM GMT+3,StackOverflow,ChatGPT / Other kind of AI chat bots,ChatGPT / Other kind of AI chat bots,ChatGPT / Other kind of AI chat bots,ChatGPT / Other kind of AI chat bots,"Documentation (e.g., wiki of project)",ChatGPT / Other kind of AI chat bots,ChatGPT / Other kind of AI chat bots,ChatGPT / Other kind of AI chat bots,ChatGPT / Other kind of AI chat bots,2-5 years,Middle
2023/12/08 03:18:26 AM GMT+3,"Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)",9-10 years,Senior
2023/12/08 03:20:09 AM GMT+3,"Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)",2-5 years,Middle
2023/12/08 03:33:19 AM GMT+3,"Search engines (e.g., Google, Yandex)","Ask a colleague (e.g., verbally, write in Slack)","Documentation (e.g., wiki of project)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Documentation (e.g., wiki of project)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Documentation (e.g., wiki of project)",1-2 years,Junior
2023/12/08 03:42:07 AM GMT+3,StackOverflow,ChatGPT / Other kind of AI chat bots,"Documentation (e.g., wiki of project)",StackOverflow,"Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)",StackOverflow,StackOverflow,ChatGPT / Other kind of AI chat bots,ChatGPT / Other kind of AI chat bots,2-5 years,Junior
2023/12/08 05:07:10 AM GMT+3,StackOverflow,"Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)","Search engines (e.g., Google, Yandex)","Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)",StackOverflow,Less than 1 year,Intern
2023/12/08 05:35:50 AM GMT+3,StackOverflow,"Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)","Search engines (e.g., Google, Yandex)","Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)",StackOverflow,Less than 1 year,Intern
2023/12/08 05:47:55 AM GMT+3,"Search engines (e.g., Google, Yandex)",ChatGPT / Other kind of AI chat bots,"Search engines (e.g., Google, Yandex)",ChatGPT / Other kind of AI chat bots,StackOverflow,ChatGPT / Other kind of AI chat bots,ChatGPT / Other kind of AI chat bots,ChatGPT / Other kind of AI chat bots,"Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)",2-5 years,Junior
2023/12/08 06:24:01 AM GMT+3,"Documentation (e.g., wiki of project)","Search engines (e.g., Google, Yandex)","Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)",5-8 years,Intern
2023/12/08 07:13:17 AM GMT+3,"Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)",11-15 years,Senior
2023/12/08 07:46:15 AM GMT+3,"Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Documentation (e.g., wiki of project)","Ask a colleague (e.g., verbally, write in Slack)","Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)",11-15 years,Senior
2023/12/08 07:52:09 AM GMT+3,"Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)",15-20 year,Senior
2023/12/08 08:06:48 AM GMT+3,StackOverflow,"Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)",StackOverflow,"Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)",StackOverflow,StackOverflow,"Ask a colleague (e.g., verbally, write in Slack)",ChatGPT / Other kind of AI chat bots,2-5 years,Junior
2023/12/08 08:58:39 AM GMT+3,"Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Documentation (e.g., wiki of project)","Search engines (e.g., Google, Yandex)","Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)",Less than 1 year,Middle
2023/12/08 09:18:37 AM GMT+3,"Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)",5-8 years,Senior
2023/12/08 09:18:56 AM GMT+3,"Search engines (e.g., Google, Yandex)",ChatGPT / Other kind of AI chat bots,"Search engines (e.g., Google, Yandex)",ChatGPT / Other kind of AI chat bots,StackOverflow,ChatGPT / Other kind of AI chat bots,ChatGPT / Other kind of AI chat bots,ChatGPT / Other kind of AI chat bots,"Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)",2-5 years,Junior
2023/12/08 09:19:42 AM GMT+3,"Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)",StackOverflow,"Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)",11-15 years,Senior
2023/12/08 09:35:47 AM GMT+3,"Search engines (e.g., Google, Yandex)","Ask a colleague (e.g., verbally, write in Slack)","Documentation (e.g., wiki of project)",ChatGPT / Other kind of AI chat bots,"Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Documentation (e.g., wiki of project)",ChatGPT / Other kind of AI chat bots,More than 21,Junior
2023/12/08 09:45:34 AM GMT+3,"Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Documentation (e.g., wiki of project)","Search engines (e.g., Google, Yandex)","Documentation (e.g., wiki of project)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Documentation (e.g., wiki of project)","Search engines (e.g., Google, Yandex)",5-8 years,Senior
2023/12/08 10:03:42 AM GMT+3,"Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Documentation (e.g., wiki of project)",ChatGPT / Other kind of AI chat bots,"Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Documentation (e.g., wiki of project)","Search engines (e.g., Google, Yandex)",5-8 years,Senior
2023/12/08 10:19:28 AM GMT+3,"Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)",2-5 years,Middle
2023/12/08 10:23:07 AM GMT+3,"Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Documentation (e.g., wiki of project)","Search engines (e.g., Google, Yandex)","Documentation (e.g., wiki of project)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Documentation (e.g., wiki of project)","Search engines (e.g., Google, Yandex)",5-8 years,Senior
2023/12/08 10:45:32 AM GMT+3,"Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Documentation (e.g., wiki of project)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)",9-10 years,Junior
2023/12/08 10:54:51 AM GMT+3,StackOverflow,StackOverflow,StackOverflow,StackOverflow,StackOverflow,StackOverflow,StackOverflow,StackOverflow,StackOverflow,StackOverflow,More than 21,Senior
2023/12/08 10:58:16 AM GMT+3,"Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)",ChatGPT / Other kind of AI chat bots,"Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)",9-10 years,Senior
2023/12/08 11:05:18 AM GMT+3,StackOverflow,ChatGPT / Other kind of AI chat bots,ChatGPT / Other kind of AI chat bots,ChatGPT / Other kind of AI chat bots,ChatGPT / Other kind of AI chat bots,"Documentation (e.g., wiki of project)",ChatGPT / Other kind of AI chat bots,ChatGPT / Other kind of AI chat bots,ChatGPT / Other kind of AI chat bots,ChatGPT / Other kind of AI chat bots,2-5 years,Middle
2023/12/08 11:19:43 AM GMT+3,"Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Documentation (e.g., wiki of project)","Search engines (e.g., Google, Yandex)","Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)",Less than 1 year,Middle
2023/12/08 11:20:16 AM GMT+3,"Documentation (e.g., wiki of project)","Ask a colleague (e.g., verbally, write in Slack)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)",ChatGPT / Other kind of AI chat bots,"Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Documentation (e.g., wiki of project)","Search engines (e.g., Google, Yandex)",2-5 years,Middle
2023/12/08 11:25:51 AM GMT+3,"Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)",11-15 years,Senior
2023/12/08 11:27:28 AM GMT+3,"Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Documentation (e.g., wiki of project)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Documentation (e.g., wiki of project)","Search engines (e.g., Google, Yandex)",9-10 years,Middle
2023/12/08 11:35:26 AM GMT+3,"Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Documentation (e.g., wiki of project)","Search engines (e.g., Google, Yandex)","Ask a colleague (e.g., verbally, write in Slack)","Search engines (e.g., Google, Yandex)","Documentation (e.g., wiki of project)","Search engines (e.g., Google, Yandex)","Documentation (e.g., wiki of project)","Search engines (e.g., Google, Yandex)",5-8 years,Middle
2023/12/08 11:56:12 AM GMT+3,"Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Ask a colleague (e.g., verbally, write in Slack)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)",9-10 years,Senior
2023/12/08 12:02:53 PM GMT+3,StackOverflow,"Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)","Search engines (e.g., Google, Yandex)","Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)",StackOverflow,Less than 1 year,Intern
2023/12/08 12:13:41 PM GMT+3,"Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Documentation (e.g., wiki of project)","Ask a colleague (e.g., verbally, write in Slack)","Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)",11-15 years,Senior
2023/12/08 12:37:13 PM GMT+3,"Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)",11-15 years,Senior
2023/12/08 01:02:49 PM GMT+3,"Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Documentation (e.g., wiki of project)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)",5-8 years,Middle
2023/12/08 01:04:47 PM GMT+3,"Search engines (e.g., Google, Yandex)","Ask a colleague (e.g., verbally, write in Slack)","Search engines (e.g., Google, Yandex)",ChatGPT / Other kind of AI chat bots,"Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)",StackOverflow,"Ask a colleague (e.g., verbally, write in Slack)",ChatGPT / Other kind of AI chat bots,"Search engines (e.g., Google, Yandex)",2-5 years,Middle
2023/12/08 01:17:34 PM GMT+3,StackOverflow,StackOverflow,"Documentation (e.g., wiki of project)","Search engines (e.g., Google, Yandex)",StackOverflow,StackOverflow,StackOverflow,"Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)",StackOverflow,2-5 years,Middle
2023/12/08 01:20:58 PM GMT+3,"Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Documentation (e.g., wiki of project)",ChatGPT / Other kind of AI chat bots,"Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Documentation (e.g., wiki of project)",ChatGPT / Other kind of AI chat bots,5-8 years,Middle
2023/12/08 01:27:04 PM GMT+3,"Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Documentation (e.g., wiki of project)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)",StackOverflow,"Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)",5-8 years,Middle
2023/12/08 02:01:12 PM GMT+3,"Search engines (e.g., Google, Yandex)","Ask a colleague (e.g., verbally, write in Slack)","Documentation (e.g., wiki of project)",ChatGPT / Other kind of AI chat bots,"Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Documentation (e.g., wiki of project)",ChatGPT / Other kind of AI chat bots,5-8 years,Junior
2023/12/08 02:01:20 PM GMT+3,"Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)",1-2 years,Junior
2023/12/08 02:05:26 PM GMT+3,"Ask a colleague (e.g., verbally, write in Slack)",ChatGPT / Other kind of AI chat bots,"Search engines (e.g., Google, Yandex)",ChatGPT / Other kind of AI chat bots,StackOverflow,ChatGPT / Other kind of AI chat bots,ChatGPT / Other kind of AI chat bots,ChatGPT / Other kind of AI chat bots,"Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)",2-5 years,Junior
2023/12/08 02:13:27 PM GMT+3,"Documentation (e.g., wiki of project)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Documentation (e.g., wiki of project)","Search engines (e.g., Google, Yandex)",2-5 years,Middle
2023/12/08 02:14:02 PM GMT+3,"Search engines (e.g., Google, Yandex)",StackOverflow,"Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)",11-15 years,Senior
2023/12/08 02:47:18 PM GMT+3,"Search engines (e.g., Google, Yandex)",StackOverflow,"Documentation (e.g., wiki of project)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Documentation (e.g., wiki of project)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)",2-5 years,Middle
2023/12/08 02:48:54 PM GMT+3,"Search engines (e.g., Google, Yandex)",ChatGPT / Other kind of AI chat bots,"Documentation (e.g., wiki of project)","Ask a colleague (e.g., verbally, write in Slack)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)",ChatGPT / Other kind of AI chat bots,StackOverflow,"Documentation (e.g., wiki of project)","Search engines (e.g., Google, Yandex)",2-5 years,Middle
2023/12/08 02:55:22 PM GMT+3,"Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Documentation (e.g., wiki of project)","Ask a colleague (e.g., verbally, write in Slack)","Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)",11-15 years,Senior
2023/12/08 03:44:59 PM GMT+3,"Search engines (e.g., Google, Yandex)","Ask a colleague (e.g., verbally, write in Slack)","Documentation (e.g., wiki of project)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Documentation (e.g., wiki of project)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Documentation (e.g., wiki of project)",1-2 years,Junior
2023/12/08 04:06:44 PM GMT+3,"Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)",2-5 years,Middle
2023/12/08 04:18:55 PM GMT+3,ChatGPT / Other kind of AI chat bots,"Documentation (e.g., wiki of project)",StackOverflow,"Ask a colleague (e.g., verbally, write in Slack)","Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)","Documentation (e.g., wiki of project)",ChatGPT / Other kind of AI chat bots,ChatGPT / Other kind of AI chat bots,ChatGPT / Other kind of AI chat bots,1-2 years,Junior
2023/12/08 04:20:51 PM GMT+3,ChatGPT / Other kind of AI chat bots,ChatGPT / Other kind of AI chat bots,"Search engines (e.g., Google, Yandex)","Documentation (e.g., wiki of project)",ChatGPT / Other kind of AI chat bots,ChatGPT / Other kind of AI chat bots,ChatGPT / Other kind of AI chat bots,"Ask a colleague (e.g., verbally, write in Slack)",ChatGPT / Other kind of AI chat bots,ChatGPT / Other kind of AI chat bots,9-10 years,Middle
2023/12/08 04:41:44 PM GMT+3,"Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)",ChatGPT / Other kind of AI chat bots,"Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)",1-2 years,Junior
2023/12/08 04:47:14 PM GMT+3,"Search engines (e.g., Google, Yandex)","Documentation (e.g., wiki of project)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)",2-5 years,Junior
2023/12/08 05:28:27 PM GMT+3,StackOverflow,StackOverflow,"Documentation (e.g., wiki of project)","Search engines (e.g., Google, Yandex)",StackOverflow,StackOverflow,StackOverflow,"Search engines (e.g., Google, Yandex)","Search engines (e.g., Google, Yandex)",StackOverflow,2-5 years,Middle
